MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,inanimate_object,food_source_animal,9995|Marmota monax,2016,not applicable,"ethanol-water (4:1),boiling",sulfachloropyridazine,6130 Quadrupole LC/MS|MS:1000470,,,,,,cerebrospinal fluid,,,intermittent hypoxia,,,Belarus,,,,,,,UBERON:0002114,DOID:8577
,,microalgae,food_source_complex,999440|Treponema denticola,2017,not specified,ethanol-water (9:1),sulfadimethoxine,6140 Quadrupole LC/MS|MS:1000471,,,,,,colon,,,ischemic stroke,,,Belgium,,,,,,,UBERON:0001690,DOID:8778
,,ML import: not available,food_source_fungi,999427|Treponema denticola ASLM,2018,"solid material, dried",ethyl acetate (100%),sulfadimethoxine;sulfachloropyridazine,6150 Quadrupole LC/MS|MS:1002795,,,,,,compound eye,,,Kawasaki disease,,,Belize,,,,,,,UBERON:0001043,DOID:8893
,,plant,food_source_NOS,999427|Treponema denticola,2019,"solid material, dried in silica at room temperature",methanol (100%),sulfamethazine,6210 Time-of-Flight LC/MS|MS:1000472,,,,,,coronary artery,,,lymphocytic choriomeningitis,,,Benin,,,,,,,UBERON:0001988,DOID:9351
,,reference material,food_source_plant,999426|Treponema denticola AL-2,2020,"solid material, fresh",methanol-acetonitrile (3:7),sulfamethazine;sulfadimethoxine,6220 Time-of-Flight LC/MS|MS:1000675,,,,,,digestive tract,,,mental depression,,,Bhutan,,,,,,,UBERON:0002110,DOID:9970
,,,frog,999421|Parabacteroides merdae CL09T00C40,2021,"solid material, frozen",methanol-dichloromethane-phosphate buffer (2:1:0.8),sulfamethizole,6224 Time-of-Flight LC/MS|MS:1002796,,,,,,duodenum,,,ML import: not available,,,Bolivia,,,,,,,UBERON:0012180,ML import: not available
,,,fungi_insitu,999421|Parabacteroides merdae,2022,"solid material, head space solid phase microextraction",methanol-dichloromethane-trichloroacetic acid (2:1:0.8),sulfamethizole;sulfachloropyridazine,6230A Time-of-Flight LC/MS|MS:1002797,,,,,,ear,,,no disease reported,,,Bosnia and Herzegovina,,,,,,,UBERON:0000948,no disease reported
,,,hospital,999420|Parabacteroides merdae CL03T12C32,2023,"solid material, NOS",methanol-water (1:1),sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline,6230B Time-of-Flight LC/MS|MS:1002798,,,,,,embryo,,,not applicable,,,Botswana,,,,,,,UBERON:0002116,no DOID available
,,,house,999420|Parabacteroides merdae,2024,"solid material, PDMS patch, head space solid phase microextraction",methanol-water (3:2),,6310 Ion Trap LC/MS|MS:1000473,,,,,,esophagus,,,not specified,,,Brazil,,,,,,,UBERON:0002115,no DOID avaliable
,,,insect,999419|Parabacteroides johnsonii CL02T12C29,2025,"solid, solid phase extraction (C18)",methanol-water (4:1),,6320 Ion Trap LC/MS|MS:1000474,,,,,,feces,,,obesity,,,Brunei,,,,,,,UBERON:0002113,no DOID avaliable
