MWB,REDU
"Reversed phase|Agilent Poroshell 120 EC-C8 (150 mm x 2.1 mm, 2.7 um)",reverse phase (C8)
Reversed phase|Phenomenex Luna C18 (150 x 2mm),reverse phase (C18)
"HILIC|Waters Acquity BEH HILIC (150 x 2.1mm, 1.7um)",normal phase (HILIC)
"HILIC|BEH amide (2.1 x 100 mm, 1.7 Âµm)",normal phase (HILIC)
HILIC|Merck ZIC-pHilic,normal phase (HILIC)
"Reversed phase|Waters Acquity BEH C18 (100 x 2mm, 1.7um) 186002352",reverse phase (C18)
Reversed phase|Machery-Nagel Nucleodur C8 (150 x 0.5mm x 5um),reverse phase (C8)
GC|TG-5MS,gas chromatography (DB-5)
GC|5% phenyldimethyl silicone column,gas chromatography (DB-5)
"HILIC|Waters Atlantis HILIC (150 x 2 mm, 3 Âµm)",normal phase (HILIC)
"Reversed phase|Waters CORTECS C18 (150 mmÃ—2.1 mm, 2.7Âµm)",reverse phase (C18)
"HILIC|EMD Millipore ZIC-HILIC (100 x 2.1mm,3.5um)",normal phase (HILIC)
Reversed phase|Acquity UPLC BEH C18,reverse phase (C18)
HILIC|chromatography on a 0.5 x 150 mm,normal phase (HILIC)
"Reversed phase|Phenomenex Luna C18 (100 × 2.0 mm i.d., 3 ?m)",reverse phase (C18)
HILIC|none,normal phase (HILIC)
"Reversed phase|Agilent Zorbax Eclipse Plus C18, RRHD column (50 mm Ã— 2.1 mm, 1.8 Âµm particle size) size)",reverse phase (C18)
"Reversed phase|Waters Acquity UPLC HSS T3 (150Ã—2.1 mm,1.8 Âµm)",reverse phase (C18)
Reversed phase|Kinetex 2.6 ?M C8 100 Å 150 x 3 mm LC column (Phenomenex),reverse phase (C8)
Reversed phase|Waters Acquity HSS T3 reversed-phase,reverse phase (C18)
Reversed phase|Kinetex C18-XB,reverse phase (C18)
"HILIC|Agilent HP5-MS (30m x 0.25mm, 0.25 um)",normal phase (HILIC)
HILIC|Waters 150 x 2 mm Atlantis HILIC column,normal phase (HILIC)
HILIC|SeQuant ZIC-HILIC,normal phase (HILIC)
"Reversed phase|Acquity UPLC® HSS T3 column (2.1 x 150 mm, 1.8 µm) including an Acquity UPLC® HSS T3 VanGuard Pre-Column (2.1 x 5mm, 1.8 µm)",reverse phase (C18)
"GC|Agilent DB35-MS (30Ã—0.25mm, 0.25Âµm)",gas chromatography (DB-5)
GC|per Metabolon,gas chromatography (DB-5)
"Reversed phase|Thermo Hypersil Gold C18 (50 x 1.2mm, 1.7um)",reverse phase (C18)
"HILIC|SeQuant ZIC-pHILIC (150 x 4.2 mm, 5 um)",normal phase (HILIC)
GC|Agilent DB-225 (30m x 0.25mm x 0.5um),gas chromatography (DB-5)
Reversed phase|Zorbax Eclipse XDB-C18 (100 x 2mm),reverse phase (C18)
"HILIC|Waters Acquity UPLC BEH amide, (100 Ã…, 1.7 Âµm 2.1Ã— 100mm)",normal phase (HILIC)
HILIC|Luna NH2 aminopropyl HPLC column,normal phase (HILIC)
GC|Biocrates IDQ p150,gas chromatography (DB-5)
"HILIC|Phenomenex Luna NH2 (100 x 3mm, 3um)",normal phase (HILIC)
GC|5% diphenyl/95% dimethyl polysiloxane GC column,gas chromatography (DB-5)
"Reversed phase|Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",reverse phase (C18)
"HILIC|SeQuant® ZIC®-pHILIC column (100 x 2.1 mm, 5 µm)",normal phase (HILIC)
"HILIC|HILIC Kinetex Column (2.6lm, 2.1 × 50 mm2)",normal phase (HILIC)
GC|InertCap 5MS/NP capillary column,gas chromatography (DB-5)
"HILIC|SeQuant® ZIC®-pHILIC column (100 x 2.1 mm, 5 µm, polymer, Merck-Millipore) including a ZIC®-pHILIC guard column (2.1 mm x 20 mm, 5 µm)",normal phase (HILIC)
"HILIC|ZIC-pHILIC column equipped with a guard (5??m, 4.6?×?150?mm, SeQuant®, Merck)",normal phase (HILIC)
"HILIC|ACQUITY UPLC T3 column (100mm×2.1mm, 1.8µm, Waters, UK)",normal phase (HILIC)
"Reversed phase|Thermo Acclaim C18 (150 x 2.1mm, 3Âµm)",reverse phase (C18)
Reversed phase|Waters Ascentis Express C18 (2.1 X 5 cm),reverse phase (C18)
HILIC|Waters ACQUITY UPLC BEH Amide,normal phase (HILIC)
HILIC|Waters XBridge BEH Amide XP (2.1mm x 50mm x 2.5um) with Thermo Accucore HILIC guard column guard column,normal phase (HILIC)
"Reversed phase|Luna (3 µm C18(2) 100 Å, 150 x 4.6 mm)",reverse phase (C18)
"HILIC|Waters XBridge BEH Amide (50mm x 2.1 mm, 2.5 uM)",normal phase (HILIC)
"Reversed phase|Phenomonex Kinetex C18 (50 x 2.1mm, 2.6um)",reverse phase (C18)
"HILIC|Waters Acquity UPLC BEH HILIC (2.1 x 75 mm, 1.7 µm)",normal phase (HILIC)
"Reversed phase|Agilent InfinityLab Poroshell 120 EC–C18, 3.0 × 5 mm, 2.7 ?m",reverse phase (C18)
"HILIC|SeQuant ZIC-pHILIC 5um polymer, 150x2.1mm",normal phase (HILIC)
HILIC|Unspecified,normal phase (HILIC)
HILIC|Phenomenex Luna NH2 (150 x 2mm),normal phase (HILIC)
HILIC|Agilent HILIC Plus RRHD 2.1Ã—100 mm 1.8-micron column,normal phase (HILIC)
"pHILIC|SeQuant ZIC- pHILIC (150 x 2.1mm, 5um)",normal phase (HILIC)
"Reversed phase|Peeke C8 SR (150Ã—3.0mm, 3Âµm)",reverse phase (C8)
Reversed phase|ACQUITY UPLC® HSS T3 column,reverse phase (C18)
"Reversed phase|RP C8 column Agilent Poroshell (150 mm 2.1 mm, 2.7 ?m)",reverse phase (C8)
"Reversed phase|Agilent Sorbax Eclipse Plus C18 RRHD (50 x 2.1 mm, 1.8 um)",reverse phase (C18)
"Reversed phase|Waters XBridge C18 (150 x 1.0mm, 3.5um)",reverse phase (C18)
GC|Agilent DB-FFAP,gas chromatography (DB-5)
"Reversed phase|Ascentis® Express C8, 2.7 ?m 100 mm",reverse phase (C8)
"Reversed phase|ACQUITY BEH C8 column (1.7 Âµm; Waters; Milford, MA).",reverse phase (C8)
Reversed phase|Agilent Zorbax 300 C18 (250x4.6mm),reverse phase (C18)
Reversed phase|Thermo Hypersil GOLD aQ C18 Polar Endcapped column (150 x 2.1 mm i.d. x 3 um),reverse phase (polar-C18)
"Reversed phase|Atlantis dC18 column (3.0x100mm, 3µm, Waters, UK)",reverse phase (C18)
HILIC|Agilent HILIC Plus RRHD 2.1×100 mm 1.8-micron,normal phase (HILIC)
"Reversed phase|BEH C18 column (2.1 Ã— 100 mm, 1.7 Âµm particle size; Waters)",reverse phase (C18)
"HILIC|SeQuant ZIC-HILIC column (100 mm Ã— 2.1 mm, 100 Ã…, 3.5 Âµm particle size, Merck, Darmstadt, Germany) Merck, Darmstadt, Germany)",normal phase (HILIC)
Normal phase|Ascentis Express C18 2.1 Ã— 150 mm 2.7 Âµm column,reverse phase (C18)
HILIC|C8,reverse phase (C8)
"Reversed phase|Phenomenex kinetex C18 2.1 x 150 mm, 1.7 um",reverse phase (C18)
Reversed phase|Waters X BridgeC18 1mm x 50mm,reverse phase (C18)
"Reversed phase|Thermo Higgins C18 (50 x 2.1mm, 3um) Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (50 x 2mm, 1.7um) 186002350",reverse phase (C18)
Reversed phase|Acentis Express C18 column,reverse phase (C18)
GC|Shimadzu SH-Rxi-5ms (30 x 0.25 x 0.25),gas chromatography (DB-5)
Reversed phase|Phenomenex Luna-C18,reverse phase (C18)
"Reversed phase|Waters Acquity BEH HSS T3 (50 x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Discovery HS C18 column (2.1 mm × 150 mm, 3.0 ?m)",reverse phase (C18)
Reversed phase|Waters SSelect HSS C18 Column,reverse phase (C18)
GC|Restek corporation Rtx-5Sil MS,gas chromatography (DB-5)
Reversed phase|Hypersil Gold C18,reverse phase (C18)
"HILIC|Waters XBridge BEH Amide 100 A (2.1×150mm, 2.5 µm)",normal phase (HILIC)
Reversed phase|Acquity UPLC CSH C18,reverse phase (C18)
GC|DB5-MS + 10m Duraguard capillary column (Agilent 122-5532G),gas chromatography (DB-5)
GC|none,gas chromatography (DB-5)
HILIC|Shodex ODP2 HP-4B 5um polymer (50 x 4.6mm),normal phase (HILIC)
"GC|Zebron ZB-SemiVolatiles (20m x 0.18mm, 0.18µm)",gas chromatography (DB-5)
"Reversed phase|X-Bridge C18 column (3.5 ?m, 150 mm × 1.0 mm i.d.) (Waters)",reverse phase (C18)
"Reversed phase|Poroshell EC-C18 (100 x 3.0 mm, 2.7 um)",reverse phase (C18)
"Reversed phase|Phenomenex Kinitex C18 (50 mm x 2.1 mm, 1.7 um)",reverse phase (C18)
Reversed phase|Agilent Eclipse XDB-C18 (100 x 3.0mm),reverse phase (C18)
"HILIC|Waters Acquity UPLC BEH Amide (100 x 2.1mm, 1.7Âµm)",normal phase (HILIC)
Reversed phase|Zorbax Extended C18,reverse phase (C18)
"UPLC|Waters Acquity BEH C8 (100 x 2.1mm, 1.7um)",reverse phase (C8)
"Reversed phase|Higgins endcapped C18 stainless steel column. 2.1mm x 50mm x 3?m particle size, Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005",reverse phase (C18)
GC|RTX-5Sil MS column,gas chromatography (DB-5)
"HILIC|SeQuant ZIC- pHILIC (100 x 2.1mm, 3.5um) Merck, Darmstadt, Germany)",normal phase (HILIC)
GC|RTX-5MS column,gas chromatography (DB-5)
Reversed phase|ACE 5 C18-300 (100 x 2.1mm),reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 (150 x 2.1mm, 1.8um)",reverse phase (C18)
Reversed phase|Acquity CSH PhenylHexyl,reverse phase (Phenyl-Hexyl)
"Reversed phase|homemade capillary column (75 Âµl id, 12 cm, Reprosil-Pur Basic C18, 3 Âµm, 100 Ã…; Dr. Maisch HPLC GmbH, Germany) Å; Dr. Maisch HPLC GmbH, Germany)",reverse phase (C18)
Reversed phase|BEH C18,reverse phase (C18)
Reversed phase|Supelco Analytical Titan C18 column,reverse phase (C18)
Reversed phase|ACQUITY UPLC BEH C18 1.7Âµm,reverse phase (C18)
"GC|Agilent DB-35MS (30m x 0,32mm x 0,25um)",gas chromatography (DB-5)
"Reversed phase|Waters BEH Acquity C18 (2.1 X 150 mm, 1.7 um)",reverse phase (C18)
"Reversed phase|Acquity UPLC HSS T3 C18 (2.1 X 100 mm, 1.8 µm)",reverse phase (C18)
HILIC|Waters Atlantis HILIC (150 x 2.1 mm),normal phase (HILIC)
"Reversed phase|Agilent Zorbax Eclipse XDB C18 3.0 x 100mm, 3.5µM, Agilent Waldbronn, Germany",reverse phase (C18)
Reversed phase|Higgins Analytica Targa C18 (150 x 0.3mm x 3.5um),reverse phase (C18)
GC|5% diphenyl/ 95% dimethyl polysiloxane GC column,gas chromatography (DB-5)
"Reversed phase|Phenomenex Kinetex C18 column (2.1?mm?×?100?mm, 2.6??m)",reverse phase (C18)
"Reversed phase|Thermo Betasil C18 (100 x 2.1mm, 5um)",reverse phase (C18)
HILIC|SeQuant ZIC-cHILIC,normal phase (HILIC)
"HILIC|Waters Atlantis HILIC (150 x 2 mm, 3 ?m)",normal phase (HILIC)
Reversed phase|Agilent C18 Zorbax SB-AQ (2.1mm x 150 mm x 3.5 Âµm),reverse phase (C18)
"Reversed phase|Agilent Eclipse Plus C18, RRHD (2.1 x 100 mm,1.8 Âµm)",reverse phase (C18)
"Reversed phase|Acquity UPLC HSS T3 C18 (2.1 X 100 mm, 1.8 Âµm)",reverse phase (C18)
"Reversed phase|Agilent Zorbax RRHD Eclipse Plus C18 (50 x 2.1 mm, 1.8 Âµm, 95 Ã…)",reverse phase (C18)
HILIC|Waters XBridge BEH Amide XP HILIC column. 2.1mm x 50mm x 2.5Î¼m particle size with Thermo Accucore HILIC guard column,normal phase (HILIC)
"GC|Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",gas chromatography (DB-5)
"HILIC|Waters XBridge BEH Amide 150 x 2.1mm, 2.5 um.",normal phase (HILIC)
"Normal phase|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um)",reverse phase (C18)
GC|Agilent HP5-MS,gas chromatography (DB-5)
"HILIC|Phenomenex Luna NH2 column (3 µm, 100 × 2 mm)",normal phase (HILIC)
Reversed phase|Thermo Fisher Accucore C18 50x2.1mm 2.6u with Thermo accucore,reverse phase (C18)
GC|Thermo TraceGold TG-5SilMS column,gas chromatography (DB-5)
GC|Agilent DB-5ms (15m x 0.25 mm x 0.25 Âµm),gas chromatography (DB-5)
"HILIC|Agilent, InfinityLab Poroshell 120 HILIC-Z (2.1 × 100 mm, 2.7 µm)",normal phase (HILIC)
"Reversed phase|Higgins Analytical Targa C18 (50mm x 2.1 mm, 3 uM)",reverse phase (C18)
HILIC|Waters XBridge BEH Amide XP HILIC column. 2.1mm x 50mm x 2.5Âµm particle size with Thermo Accucore HILIC guard column with Thermo Accucore HILIC guard column,normal phase (HILIC)
"HILIC|Phenomenex Luna NH2 (250 x 2.0mm, 5um)",normal phase (HILIC)
"GCxGC|Column 1: Rxi-624Sil MS, (60m × 0.25mm × 1.4um); Column 2: Stabilwax, (1m × 0.25mm × 0.5um)",gas chromatography (DB-5)
Reversed phase|Supelco Ascentis Express C18 column,reverse phase (C18)
GC|Unspecified,gas chromatography (DB-5)
Reversed phase|Synergi fusion RP (50 x 2 mm),reverse phase (polar-C18)
"HILIC|Agilent InfinityLab Poroshell 120 HILIC-Z (150 x 2.1mm, 2.7?m)",normal phase (HILIC)
GC|Shimadzu SH-RXI (30M x 0.25mm x 0.25um),gas chromatography (DB-5)
"Reversed phase|Waters BEH C18 (100 × 2.1 mm, 1.7 µm)",reverse phase (C18)
"Reversed phase|Waters BEH C18 (2.1 Ã— 100 mm, 1.7Âµm)",reverse phase (C18)
"Reversed phase|Waters ACQUITY UPLC HSS T3 (150 x 2.1mm,1.8um)",reverse phase (C18)
"HILIC|HILIC column, AccucoreTM-150-Amide (50 x 2.1mm,2.6um)",normal phase (HILIC)
"None (Direct infusion)|Luna C18 (3u, 2.1x150 mm) column",reverse phase (C18)
GC|DB5-MS,gas chromatography (DB-5)
Reversed phase|Waters ACQUITY UPLC® BEH C18 1.7 µm 2.1 x 75 mm (No. 186005604),reverse phase (C18)
"Reversed phase|Agilent Poroshell 120 EC-C8 (2.1 x 100mm, 2.7um)",reverse phase (C8)
"HILIC|Waters XBridge BEH Amide XP HILIC (50 x 2.1mm, 2.5?m)",normal phase (HILIC)
HILIC|None,normal phase (HILIC)
Reversed phase|Waters XSelect HSS T3 column (2.1 x 100mm; 2.5 Âµm),reverse phase (C18)
GC|Agilent DB_5MS + DG,gas chromatography (DB-5)
"CSH|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um)",reverse phase (C18)
"Reversed phase|Thermo Accucore C18 (100 x 2.1mm, 2.6um)",reverse phase (C18)
GC|30-meter DB-5MS,gas chromatography (DB-5)
"HILIC|Agilent HILIC-Z (2.1 Ã— 100 mm, 2.7 Âµm)",normal phase (HILIC)
"Reversed phase|Waters ACQUITY UPLC CSH C18 (150 x 2.1mm,1.7um)",reverse phase (C18)
Reversed phase|Thermo Fisher Accucore HILIC with guard cartridge(50x2.1mm 2.6u),normal phase (HILIC)
"HILIC|SeQuant ZIC- pHILIC (100 x 2.1mm, 3.5um)",normal phase (HILIC)
"GC|30 m long, 0.25 mm i.d. Rtx-5Sil MS column (0.25 ?m 95% dimethyl 5% diphenyl polysiloxane film)",gas chromatography (DB-5)
"Reversed phase|Waters Acquity BEH C8 (150 x 2.1mm, 1.7um)",reverse phase (C8)
"Reversed phase|Agilent Eclipse XDB-PLUS C18 (50 x 1.2mm, 1.8um)",reverse phase (C18)
"HILIC|Waters XBridge BEH Amide (150?mm?×?2.1?mm, 2.5??m)",normal phase (HILIC)
GC|TraceGOLDâ„¢ TG-5SILMS,gas chromatography (DB-5)
"Reversed phase|Thermo Hypersil GOLD C18 (100 x 2.1mm,1.9µm)",reverse phase (C18)
"Reversed phase|Waters Acquity C18 CSH (2.1 x 10 mm, 1.7 ?m)",reverse phase (C18)
"Normal phase|Phenomenex Kinetex HILIC 100A (50 x 2.1 mm, 2.6um)",normal phase (HILIC)
"Reversed phase|Discovery HS C18 column (2.1 mm Ã— 150 mm, 3.0 Âµm; Supelco, Sigma Aldrich, Germany) Germany)",reverse phase (C18)
"Reversed phase|Thermo Fisher Accucore C18 column (2.1 X 100 mm, 5 Âµm)",reverse phase (C18)
"Reversed phase|Thermo Higgins C18 (50 x 2.1mm, 3um)",reverse phase (C18)
"HILIC|SeQuant ZIC- pHILIC (150 x 4.6 mm, 5uM)",normal phase (HILIC)
HILIC|SeQuant Zic-HILIC (150 x 0.5mm x 5um),normal phase (HILIC)
"Reversed phase|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um) particles)",reverse phase (C18)
"Reversed phase/HILIC|Waters Acquity BEH C18 (100 x 2mm, 1.7um)",normal phase (HILIC)
"Reversed phase|Phenomenex Kinetex C18+ column (2.1 Ã— 100 mm, 1.7 Âµm)",reverse phase (C18)
GC|Agilent DB5-MS (15m),gas chromatography (DB-5)
GC|See document,gas chromatography (DB-5)
"Other|HILICpak VT50 2D column (150 mm x 2.0 mm, 5 µm particle size, Shodex, Japan)",normal phase (HILIC)
Normal phase|Acquity UPLC CSH C18 column,reverse phase (C18)
"HILIC|Cogent Diamond Hydride (150 × 2.1mm,4um)",normal phase (HILIC)
GC|Agilent DB5 (20m x 0.18 mm i.d. x 0.18 ?m),gas chromatography (DB-5)
"Reversed phase|Waters Xbridge BEH C18 (150 x 2.1mm, 3.5um)",reverse phase (C18)
"GC|GC-Column DB5-MS (30 m length, 0.25 mm i.d., 0.25 Âµm film 95% dimethyl/5% diphenylpolysiloxane) with an integrated precolumn (10 m J&W, Agilent) diphenylpolysiloxane) with an integrated precolumn (10 m J&W, Agilent)",gas chromatography (DB-5)
Reversed phase|Acclaim Polar Advantage II column (Thermo),reverse phase (polar-C18)
"Reversed phase|Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um) um column",reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 (100 x 2.1mm, 1.8um) 1 mm x 100 mm column; Waters, Milford, MA, USA)",reverse phase (C18)
"Reversed phase|Agilent Acclaim 120 C18-column (2.1 mm x 100 mm, 5 µm)",reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 (150 x 1mm, 1.8um)",reverse phase (C18)
Reversed phase|ACQUITY UPLC BEH C18 1.7 µm analytical column (2.1 × 100 mm),reverse phase (C18)
"Reversed phase|Waters Acquity BEH C8 (100 x 2mm, 1.7um)",reverse phase (C8)
HILIC|Luna Aminopropyl,normal phase (HILIC)
"Reversed phase|Agilent Zorbax Eclipse Plus C18 RRHD column (50 x 2.1mm, 1.8um)",reverse phase (C18)
"HILIC|AdvanceBio Glycan Map (2.1 x 100mm, 2.7µm)",normal phase (HILIC)
"HILIC|Waters Acquity BEH HILIC (150 x 2.1mm, 1.7um) attached",normal phase (HILIC)
Reversed phase|Macherey-Nagel EC 100/2 Nucleoshell C18 2.7?m,reverse phase (C18)
"HILIC|Waters Acquity BEH HILIC (150 x 2.1mm,1.7um)",normal phase (HILIC)
HILIC|Thermo Fisher Accucore HILIC with guard cartridge(50x2.1mm 2.6u),normal phase (HILIC)
Reversed phase|shim-pack VP-ODS C18,reverse phase (C18)
"HILIC|Waters XBridge BEH Amide (50 x 2.1mm,2.5um)",normal phase (HILIC)
Reversed phase|Waters BEH C18 (100mm x 2.1mm; 1.7 Âµm),reverse phase (C18)
"Reversed phase|Agilent Zorbax RRHT SB-C18 (50 x 2.1 mm, 1.8 um)",reverse phase (C18)
"Reversed phase|Thermo Higgins C18 (100 x 2.1mm, 2.6um)",reverse phase (C18)
HILIC|Agilent AdvanceBio Glycan Map 2.1 x 100 mm 2.7µm column,normal phase (HILIC)
"Reversed phase|Bruker Micron Magic nanoC18 (130mm X 100 Âµm, 5 Âµm)",reverse phase (C18)
"HILIC|Waters Xbridge Amide (100 x 3mm, 3.5um)",normal phase (HILIC)
"HILIC|Agilent InfinityLab Poroshell 120 HILIC-Z (100 x 2.1mm, 2.7um)",normal phase (HILIC)
"UPLC|Waters Acquity UPLC BEH C18(100*2.1mm, 1.7um)",reverse phase (C18)
"Reversed phase|Phenomonex Kinetex C18 (2.1 × 50 mm, 2.6 ?m)",reverse phase (C18)
"GC|a 30 m Ã— 0.25 mm i.d. fused silica capillary column coated with 0.25 Âµm CP-SIL 8 CB low bleed (Varian Inc., Palo Alto, CA) 8 CB low bleed (Varian Inc., Palo Alto, CA)",gas chromatography (DB-5)
"HILIC|Waters Xbridge amide HILIC (100 x 2.1 mm i.d., 3.5 um)",normal phase (HILIC)
Reversed phase|Synergy Hydro-RP column (Phenomenex) and Accucore C18 column (Thermo),reverse phase (C18)
"Reversed phase|Waters Acquity UPLC CSH Phenyl Hexyl (1.7 uM, 1.0 x 100 mm)",reverse phase (Phenyl-Hexyl)
"C18 Reversed Phase|Accucore C18 column (150 x 2.1 mm; 2.6 µm, 150 Å, Thermo Fisher Scientific)",reverse phase (C18)
"HILIC|HILIC column, AccucoreTM-150-Amide 50 x 2.1 x 2.6 ?",normal phase (HILIC)
"Reversed phase|Higgins endcapped C18 stainless steel column. 2.1mm x 50mm x 3Âµm particle size, Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005 Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005",reverse phase (C18)
"Reversed phase|Phenomenex (Torrance, CA) Hydro-RP C18 column",reverse phase (C18)
"None (Direct infusion)|Waters BEH C18 (2.1 mm × 100 mm, 1.7 µm )",reverse phase (C18)
"HILIC|Ascentis® Express HILIC HPLC column (2.1 mm x 150 mm, 2.7 µm)",normal phase (HILIC)
Reversed phase|Agilent rapid resolution HT Zorbax SB-C18,reverse phase (C18)
"HILIC|Phenomenex Luna NH2 (150 x 2.1mm,3um)",normal phase (HILIC)
GC|Restek 5% phenyl,gas chromatography (DB-5)
HILIC|Thermo Fisher Accucore HILIC 50x2.1mm 2.6u with Thermo accucore HILIC guard cartridge cartridge,normal phase (HILIC)
"HILIC|Luna NH2 column (Phenomenex; Torrance, CA)",normal phase (HILIC)
"Normal phase|Thermo Accucore C18 (100 x 2.1mm, 2.6um)",reverse phase (C18)
"HILIC|Waters XBridge Amide (100 x 2.1 mm, 3.5 um)",normal phase (HILIC)
GC|Phenomenea ZB-5MS (60m x 0.32 mmI.D. and 0.25mm film thickness),gas chromatography (DB-5)
"Reversed phase|Phenomenex Luna C18 (100 Ã— 2.0 mm i.d., 3 Âµm)",reverse phase (C18)
Reversed phase|Hydro-RP C18 column,reverse phase (C18)
"HILIC|Waters Atlantis HILIC (150 x 2.1mm, 3um)",normal phase (HILIC)
"Reversed phase|Agilent Zorbax Eclipse Plus C8 (2.1 x 100 mm, 1.8 µm) UHPLC column",reverse phase (C8)
HILIC|Phenomenex Luna NH2 3 ?m 100A (150 mm x 2 mm),normal phase (HILIC)
GC|Agilent DB 5-MS (10 m x 0.18 mm x 0.18 um),gas chromatography (DB-5)
"HILIC|Acquity UPLC BEH HILIC Si column (100 x 1.0 mm; 1.7 µm, 130 Å, Waters Corp.)",normal phase (HILIC)
"Reversed phase|Thermo Accucore C18 (150 x 2.1mm,2.6um)",reverse phase (C18)
"Reversed phase|ACQUITY BEH C8 column (2.1 Ã— 100 mm, 1.7 Âµm)",reverse phase (C8)
"Reversed phase|Luna C18 LC (150 x 4.6 mm, 3µm)",reverse phase (C18)
"CSH|Waters Acquity BEH C18 (100 x 2mm, 1.7um)",reverse phase (C18)
"HILIC|SeQuant ZIC-HILIC 3.5-Âµm, 2.1 mm Ã— 100 mm column",normal phase (HILIC)
GC|Agilent DB-1 DB-1 (30 m Ã— 250 um i.d.),gas chromatography (DB-5)
"Reversed phase|Thermo Higgins C18 (50 x 2.1mm, 3um) size, Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005",reverse phase (C18)
"Reversed phase|ACQUITY UPLC BEH C18 (1.7 Âµm, 2.1 mm X 5 mm);Agilent ZORBAX StableBond C18 UHPLC guard (4.6 mm, 1.8 Âµm) UHPLC guard (4.6 mm, 1.8 µm)",reverse phase (C18)
"HILIC|Waters XBridge Amide (100 x 4.6mm,3.5um)",normal phase (HILIC)
GC|Agilent 122-5532G,gas chromatography (DB-5)
"UPLC|Waters Acquity BEH C18 (100 x 2.1mm, 1.7um)",reverse phase (C18)
GC|J&W DB-5 (30 m × 0.25 mm × 1.00 µM),gas chromatography (DB-5)
mixed mode (Scherzo SM-C18),mixed mode (Scherzo SM-C18)
normal phase (HILIC),normal phase (HILIC)
not specified,not specified
reverse phase (C18),reverse phase (C18)
reverse phase (C8),reverse phase (C8)
reverse phase (Phenyl-Hexyl),reverse phase (Phenyl-Hexyl)
reverse phase (polar-C18),reverse phase (polar-C18)
gas chromatography (DB-5),gas chromatography (DB-5)
ML import: not available,ML import: not available
reverse phase (NOS),reverse phase (NOS)
