MWB,REDU
"Reversed phase|Waters Acquity CSH C18 (100 x 2.1mm, 1.7um)",reverse phase (C18)
HILIC|Waters Atlantis HILIC (150 x 2 mm),normal phase (HILIC)
"HILIC|SeQuant ZIC- pHILIC (150 x 2.1mm, 5um) ZIC-pHILIC 20 x 2.1 mm guard column",normal phase (HILIC)
"GC|Waters Acquity BEH C18 (100 x 2mm, 1.7um)",gas chromatography (DB-5)
"Reversed phase|Agilent, Zorbax Eclipse XDB C18, 3.0 x 100 mm, 3.5 µM, Agilent Waldbronn, Germany",reverse phase (C18)
"Reversed phase|Agilent C18 Zorbax SB-AQ (150 x 2.1mm, 3.5um)",reverse phase (C18)
"Reversed phase|Waters BEH C18 (2.1 mm × 100 mm, 1.7 µm )",reverse phase (C18)
"GC|Restek Rtx-5Sil MS (30 x 0.25mm, 0.25um) 0.25 ?m film made of 95% dimethyl/5%diphenylpolysiloxane)",gas chromatography (DB-5)
"Reversed phase|Waters Acquity BEH C18 (100 x 2.1mm, 1.7um)",reverse phase (C18)
Reversed phase|Ascentis Express C18 2.1x5cm (Waters),reverse phase (C18)
Reversed phase|Acquity HSS UPLC T3 column (1.8 Âµm particle 50 Ã— 2.1 mm),reverse phase (C18)
"Reversed phase|Thermo Accucore C18+ (100 mm x 2.1 mm, 1.5 ?m)",reverse phase (C18)
"Reversed phase|Waters Acquity HSS C18 (150 x 2.1mm, 1.8um)",reverse phase (C18)
Reversed phase|Phenomenex Kinetex XB-C18 (1.7µm 100 A 150x 2.1mm),reverse phase (C18)
"None (Direct infusion)|Targa C8, 2x10 mm, 5?",reverse phase (C8)
"GC|Phenomenex Zebron ZB-WAXplus (30m x 0.25mm, 0.25um)",gas chromatography (DB-5)
"GC|Agilent DB5-MS (15m Ã— 0.25mm, 0.25um)",gas chromatography (DB-5)
"Reversed phase|Waters BEH C8 (2.1 x 50 mm, 1.7 Âµm)",reverse phase (C8)
"HILIC|SeQuant ZIC-HILIC (100 x 2.1mm, 3.5um)",normal phase (HILIC)
"HILIC|Phenomenex Kinetex HILIC (150 x 3mm,2.6um)",normal phase (HILIC)
"HILIC|Thermo Accucore Amide HILIC (150 x 2.1mm, 2.6um)",normal phase (HILIC)
GC|HP5-MS (30m x 0.25mm x 0.25 um) + Duragard precolumn (10m),gas chromatography (DB-5)
GC|Agilent DB5-MS (15m Ã— 0.25mm),gas chromatography (DB-5)
"Reversed phase|Agilent ZORBAX RRHD Eclipse Plus C18, 2.1 x 50 mm, 1.8 Âµm",reverse phase (C18)
"Reversed phase|Ascentis Express C8, 2.7 Âµm HPLC Column (2.7 Âµm particle size, L Ã— I.D. 10 cm Ã— 2.1 mm)",reverse phase (C8)
Reversed phase|Waters Acquity CSH C18 2.1x10 0mm 1.7Âµm Column,reverse phase (C18)
GC|5% phenyl and the temperature ramp is from 40Â° to 300Â° C in a 16 minute period,gas chromatography (DB-5)
Reversed phase|CSH C18 column (100 mm length × 2.1 mm i.d.; 1.7-µm particle size),reverse phase (C18)
Reversed phase|C18,reverse phase (C18)
"Reversed phase|Hamilton Intensity Solo 2 C18(100 x 2.1 mm, 1.8 um)",reverse phase (C18)
"Reversed phase|Ascentis Express C18 (100 x 2.1mm,2.7um)",reverse phase (C18)
GC|a Thermo Scientificâ„¢ TraceGOLDâ„¢ TG-5SILMS 30 m length Ã— 0.25 mm i.d. Ã— 0.25 Âµm 0.25 µm,gas chromatography (DB-5)
"Reversed phase|Waters Acquity BEH HSS T3 (150x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Waters Acquity HSS T3 column (100 mm×2.1, 1.8 ?m)",reverse phase (C18)
HILIC|ZIC-pHILIC (Merck Sequant) column,normal phase (HILIC)
"Ion pair|Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",reverse phase (C18)
"Reversed phase|Thermo Higgins C18 (50 x 2.1mm, 3um) with Thermo Accucore C18 guard column",reverse phase (C18)
GC|Phenomenex Zebron AB-5HT (5m),gas chromatography (DB-5)
Reversed phase|Kinetex C18 2.1x100,reverse phase (C18)
"Reversed phase|ACQUITY UPLC HSS T3 column (2.1×100?mm, 1.8?µm; Waters)",reverse phase (C18)
HILIC|Waters XBridge BEH Amide XP HILIC (2.1mm x 50mm x 2.5Âµm),normal phase (HILIC)
"HILIC|SeQuant ZIC-pHILIC (150 x 4.6 mm, 5µm)",normal phase (HILIC)
"HILIC|Atlantis HILIC column (Waters; Milford, MA)",normal phase (HILIC)
"HILIC|EMD Millipore ZIC HILIC (150 x 2.1mm, 5um)",normal phase (HILIC)
"Reversed phase|Higgins Analytical Targa C18 (50 mm × 2.1 mm, 5 µm)",reverse phase (C18)
"Reversed phase|Phenomenex Luna Omega C18 (100 x 2.1mm,1.6um)",reverse phase (C18)
"GC|GCMS-5% phenyldimethyl silicone column, 2.1 mm 100 mm Waters BEH C18 1.7 um particle columns columns",gas chromatography (DB-5)
GC|DB-5MS (J&W Scientific),gas chromatography (DB-5)
Reversed phase|Waters XSelect HSS C18 (250 x 4.6mm),reverse phase (C18)
Reversed phase|Waters Acquity HSS T3,reverse phase (C18)
Reversed phase|Acquity HSS UPLC T3 column,reverse phase (C18)
GC|Restek Corporation Rtx-5Sil MS,gas chromatography (DB-5)
"Reversed phase|Acquity UPLC CSH C18 (130Ã…, 1.7 Âµm, 2.1 mm X 100 mm)",reverse phase (C18)
GC|Rtx-5Sil MS column,gas chromatography (DB-5)
"HILIC|Phenomenex Luna NH2 (100 x 2.0mm, 3um)",normal phase (HILIC)
"Reversed phase|Agilent Eclipse Plus C18 (150 x 2.1mm, 1.8um)",reverse phase (C18)
"Reversed phase|Agilent mRP-Recovery C18 column (100 Ã— 0.5 mm, 5 Âµm)",reverse phase (C18)
"GC|Agilent HP5-MS (15m Ã— 0.25mm, 0.25 um)",gas chromatography (DB-5)
"Reversed phase|Waters Acquity BEH C18 (100 x 2mm,1.7um)",reverse phase (C18)
"Reversed phase|Agilent Eclipse C18 (75 x 4.6mm, 1.8um)",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C8 (150 x 2mm, 1.7um)",reverse phase (C8)
Reversed phase|Higgins endcapped C18 stainless steel (2.1mm x 50mm x 3Âµm),reverse phase (C18)
"GC|Agilent HP5-MS (15m ? 0.25mm, 0.25 um)",gas chromatography (DB-5)
"Reversed phase|Discovery HS C18 column (2.1 mm Ã— 150 mm, 3.0 Âµm; Supelco, Sigma Aldrich, Germany), with a guard column DiscoveryÂ® HS C18 (2 cm Ã— 2.1 mm, 3 Âµm; Supelco, Sigma Aldrich, Germany), Germany), with a guard column Discovery® HS C18 (2 cm × 2.1 mm, 3 ?m; Supelco, Sigma Aldrich, Germany),",reverse phase (C18)
Reversed phase|Thermo Betasil C18 column,reverse phase (C18)
"HILIC|Phenomenex Kinetex C18 (150 x 2.1mm, 2.6 um)",normal phase (HILIC)
"HILIC|Kinetex ( 2.6lm, 2.1 × 50 mm2)",normal phase (HILIC)
Reversed phase|Zebron ZB-5MSi capillary GC column,gas chromatography (DB-5)
"HILIC|ZIC-pHILIC (150 mm x 4.6 mm, 5 µm)",normal phase (HILIC)
"Reversed phase|Waters Acquity BEH C18 (100 x 2mm, 1.7um) Corp.)",reverse phase (C18)
HILIC|SeQuant ZIC-pHILIC 5Âµm polymer (150 x 4.6 mm),normal phase (HILIC)
"Reversed phase|Phenomenex Luna Omega Polar C18 column (1.7 µm, 100 x 2.1 mm)",reverse phase (polar-C18)
"Reversed phase|Agilent Zorbax EclipsePlus C-18 (50 x 2.1 mm, 1.8 um)",reverse phase (C18)
"HILIC|Waters Acquity BEH C8 (100 x 2.1mm, 1.7um)",reverse phase (C8)
"HILIC|Waters Acquity BEH C18 (100 x 2mm, 1.7um)",normal phase (HILIC)
"GC|Agilent DB5-MS (15m x 0.25mm, 0.25um)",gas chromatography (DB-5)
GC|Phenomenex ZB-WAX,gas chromatography (DB-5)
HILIC|Shodex NH2P-40 2E (250 mm Ã— 2.0 mm),normal phase (HILIC)
"Reversed phase|Kinetex XB-C18 2.1 x 150 mm, 1.7 um",reverse phase (C18)
GC|GC columns connected in series are both from J&W/Agilent (part 122-5512),gas chromatography (DB-5)
Reversed phase|Atlantis T3 reverse-phase C18 3.5Âµm column (2.1 by 150mm,reverse phase (C18)
"Reversed phase|Acquity UPLC® HSS T3 column (2.1 x 150 mm, 1.8 µm)",reverse phase (C18)
HILIC|Cogent Diamond Hydride HILIC 150 × 2.1 mm column,normal phase (HILIC)
"HILIC|Waters Xbridge amide (100 × 2.1 mm i.d., 3.5 ?m)",normal phase (HILIC)
"Reversed phase|Ascentis Express C18 (100 x 4.6, 2.7)",reverse phase (C18)
"HILIC|Phenomenex Kinetex HILIC 100A (50 x 2.1 mm, 2.6um)",normal phase (HILIC)
"Ion pair|Agilent Zorbax Extend C18, 2.1 x 150 mm, 1.8 ?m",reverse phase (C18)
"HILIC|Agilent HILIC Plus RRHD (100 x 2.1mm, 1.8um)",normal phase (HILIC)
Reversed phase|C18 reversed phase column,reverse phase (C18)
"Parallel 2DLC-MS|Thermo Accucore HILIC (100 x 2.1mm, 2.6um)",normal phase (HILIC)
"Reversed phase|Waters Xterra MS C8 (2.1Ã—100mm,3.5Âµm)",reverse phase (C8)
Reversed phase|Waters Acquity UPLC HSS C18 SB 1.8 ?m 2.1 x 100 mm,reverse phase (C18)
HILIC|SeQuant® ZIC®-cHILIC,normal phase (HILIC)
"HILIC|SeQuant ZIC-HILIC (150 x 4.6mm, 5um)",normal phase (HILIC)
"HILIC|ZIC-pHILIC column (5 Âµm particle size, 4.6 by 150 mm; Merck)",normal phase (HILIC)
"HILIC|SeQuant ZIC-HILIC (150 x 4.6mm, 3.5um)",normal phase (HILIC)
"Reversed phase|Waters Acquity BEH C18 (50 x 2mm, 1.7um)",reverse phase (C18)
"Normal phase|Waters Acquity BEH C18 (50 x 2.1mm, 1.7um)",reverse phase (C18)
Reversed phase|Acquity HSS T3,reverse phase (C18)
"HILIC|Waters Xbridge amide (100 Ã— 2.1 mm i.d., 3.5 Âµm)",normal phase (HILIC)
"Reversed phase|Waters XSelect HSS T3 C18 (100 x 2.1mm, 2.5um)",reverse phase (C18)
"Reversed phase|Poroshell 120 EC-C8 (100 x 2.1mm, 2.5um)",reverse phase (C8)
"HILIC|Waters Xbridge Amide (150 x 4.6mm, 3.5um)",normal phase (HILIC)
HILIC|Waters XBridge BEH Amide XP HILIC column. 2.1mm x 50mm x 2.5ÃŽÂ¼m particle size with Thermo Accucore HILIC guard column with Thermo Accucore HILIC guard column,normal phase (HILIC)
GC|None,gas chromatography (DB-5)
HILIC|Phenomenex Luna NH2 (150 x 2.0mm),normal phase (HILIC)
"Reversed phase|Waters Acquity UPLC CSH C18(1.7 Âµm, 2.1 mm X 50 mm)",reverse phase (C18)
"Reversed phase|Agilent Eclipse XDB-C18 (100 x 3.0mm,3.5um)",reverse phase (C18)
Reversed phase|ACE 5 C8-300 (100 x 2.1mm),reverse phase (C8)
Reversed phase|Poroshell 120 SB-C18 (2.1 x 100 mm x 2.7 µm),reverse phase (C18)
"Reversed phase|Waters XBridge C18 (150mm x 2.1mm, 3.5um)",reverse phase (C18)
"HILIC|Merck SeQuant ZIC-HILIC (150 x 4.6mm,5um)",normal phase (HILIC)
"HILIC|Phenomenex Luna NH2 (150 x 1mm,3um)",normal phase (HILIC)
"HILIC|Waters Acquity BEH Amide (150 x 2.1mm, 1.7um) Waters Acquity",normal phase (HILIC)
"HILIC|Waters Acquity BEH HSS T3 (100 x 2.1mm, 1.8um)",normal phase (HILIC)
Reversed phase|Poroshell 120 SB-C18 (2.1 x 100 mm x 2.7 Âµm),reverse phase (C18)
"HILIC|Waters Acquity BEH Amide (75 x 2.1mm, 1.7um)",normal phase (HILIC)
GC|DB-35ms,gas chromatography (DB-5)
"None (Direct infusion)|Kinetex C18 core-shell column (50 x 2.1 mm, 1.7 ?M particle size, 100 Å pore size)",reverse phase (C18)
"Reversed phase|Phenomenex Kinetex C18 (150 x 2.1mm, 1.7 um)",reverse phase (C18)
"Reversed phase|Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",reverse phase (C18)
"HILIC|Waters XBridge Amide (50 x 2.1mm, 2.5um) with Thermo Accucore HILIC guard column",normal phase (HILIC)
HILIC|Agilent InfinityLab Poroshell 120 HILIC-Z (2.1 x 100mm),normal phase (HILIC)
"UHPLC|Synergiâ„¢ Fusion-RP capillary C18 column (150 Ã— 0.5 mm, 4 Âµm; Phenomenex Inc., Torrance, CA, USA) Inc., Torrance, CA, USA)",reverse phase (C18)
"HILIC|ethylene-bridged hybrid 2.1 150 mm, 1.7 m; Waters",normal phase (HILIC)
HILIC|Waters BEH Amide column,normal phase (HILIC)
"Reversed phase/HILIC|Waters UPLC BEH C18 (2.1x100 mm, 1.7 um)/Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",normal phase (HILIC)
"Reversed phase|Agilent ZORBAX RRHD Eclipse Plus C18, 95Å, 2.1 x 50 mm, 1.8 µm",reverse phase (C18)
GCxGC|Multidimensional column configuration,gas chromatography (DB-5)
"HILIC|Altma HP HILIC, 2.1x150mm, 5um",normal phase (HILIC)
"Other|ULTRON AF-HILIC-CD (250 mm × 2.1 mm, 5.0 µm; Shinwa Chemical Industries)",normal phase (HILIC)
"HILIC|Waters Acquity BEH C18 (50 x 2.1mm, 1.7 um)",normal phase (HILIC)
Reversed phase|Kinetex XB-C18,reverse phase (C18)
HILIC|Waters Acquity UPLC BEH Amide column (150 mm length × 2.1 mm i.d.; 1.7 µm particle size),normal phase (HILIC)
"ACC-HILIC|Thermo Accucore 150 Amide HILIC (150x3mm, 2.6um)",normal phase (HILIC)
"Reversed phase|Kinetex EVO C18 column (Phenomenex, Torrance, CA, USA) having dimensions 100 mm x 2.1 mm, 1.7 um",reverse phase (C18)
"HILIC|Macherey Nagel Nucleodur HILIC (100 x 2 mm, 1.8 µm)",normal phase (HILIC)
HILIC|Waters Acquity BEH (50 mm length × 2.1 mm i.d.; 1.7 µm particle size),normal phase (HILIC)
"HILIC|Waters Acquity BEH Amide (100 x 2.1mm, 1.7um)",normal phase (HILIC)
Reversed phase|C18 2mm x 150mm (Waters Corporation),reverse phase (C18)
"HILIC|SeQuant ZIC-HILIC (150 x 2.1mm, 5um)",normal phase (HILIC)
"Reversed phase|Phenomenex Kinetex C18 2.1 x 150 mm, 1.7 um",reverse phase (C18)
"Reversed phase|Agilent Zorbax Eclipse XDB C18 (3.0 x 100 mm, 3.5 ÂµM)",reverse phase (C18)
"Reversed phase|Waters Acquity BEH C18 (50 x 2.1mm,1.7um)",reverse phase (C18)
"Reversed phase/HILIC|Waters Acquity BEH C18 (100 x 2mm, 1.7um)/Waters UPLC BEH Amide (2.1x150 mm, 1.7 um)",normal phase (HILIC)
"Reversed phase|Phenomenex Kinetex C18(100×3.0mm, 2.6?m)",reverse phase (C18)
"Reversed phase|Agilent Zorbax SB-C18 (2.1 x 100 mm, 3.5 Âµm)",reverse phase (C18)
GC|DB-5MS (J&W Scientific) 60m,gas chromatography (DB-5)
"HILIC|ZIC-pHILIC (150 mm x 4.6 mm, 5 Âµm)",normal phase (HILIC)
"Reversed phase|Higgins endcapped C18 stainless steel column. 2.1mm x 50mm x 3Âµm particle size, Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005 size, Product #TS-0521-C183; Thermo Accucore C18 guard column with holder, Product #17126-014005",reverse phase (C18)
"Reversed phase|Ascentis C18 (150 x 2.1mm,2.7um)",reverse phase (C18)
"Reversed phase|Merck Supelco Ascentis Express C18 (150 x 2.1mm,2.7um)",reverse phase (C18)
"Anion exchange/Reversed phase|Higgins C18 100x2.1mm, 5um; Hamilton Anion Exchange 100x2.1mm, 7um",reverse phase (C18)
Reversed phase|C18 column,reverse phase (C18)
"Reversed phase|AccucoreTM C18 HPLC column (2.1 mm x 100 mm, 2.6 µm)",reverse phase (C18)
"HILIC|Acquity UPLC BEH Amide Column, 130Å, 1.7 µm, 2.1 mm X 150 mm",normal phase (HILIC)
"HILIC|Phenomenex Luna NH2( 150 mm Ã— 1.0 mm, 3 Âµm)",normal phase (HILIC)
"Reversed phase|Phenomenex Kinetex C8 column (0.7 ?m, 50 mm × 2.1 mm, 100 Å)",reverse phase (C8)
"Reversed phase|Agilent Zorbax Eclipse Plus RRHD C18 (2.1 x 50 mm, 1.8Âµm)",reverse phase (C18)
Reversed phase|Pursuit C18 (2.1 x 150 mm),reverse phase (C18)
"HILIC|Zorbax HILIC plus 3.5um, 2.1 x 100 mm",normal phase (HILIC)
"GC|Waters Acquity BEH HSS T3 (100 x 2.1mm, 1.8um)",gas chromatography (DB-5)
"HILIC|Waters Acquity BEH HSS T3 (50 x 2.1mm, 1.8um)",normal phase (HILIC)
HILIC|ThermoFisher Syncronis HILIC UHPLC (2.1 x 100 x 1.7 mm),normal phase (HILIC)
"Reversed phase|Thermo Acclaim 120 C18 column (3 ?m, 2.1 × 150 mm)",reverse phase (C18)
"HILIC|Waters Xbridge BEH HILIC (75 x 2.1mm, 2.5um)",normal phase (HILIC)
"Reversed phase|Waters Acquity UPLC HSS T3 (100 Ã…, 1.8 Âµm, 2.1Ã—100mm)",reverse phase (C18)
Reversed phase|Agilent Zorbax Eclipse Plus C18 column 4.6 x 150 mm 3.5 ?m,reverse phase (C18)
"Reversed phase|Waters Xbridge BEH C18 (50 x 1mm, 3.5um)",reverse phase (C18)
Reversed phase|Agilent Zorbax Rapid Resolution HD SB-C18,reverse phase (C18)
HILIC|Acquity BEH amide 1.7 ?m 2.1 x 100 mm,normal phase (HILIC)
"Reversed phase|Poroshell 120, EC-C8, 2.1 x 100 mm, 2.5um",reverse phase (C8)
"GC|SeQuant ZIC- pHILIC (150 x 2.1mm, 5um)",normal phase (HILIC)
"HILIC|Waters XBridge BEH Amide column (15 cm x 2.1 mm, 2.5 Âµm)",normal phase (HILIC)
"Reversed phase|Agilent Zorbax Eclipse Plus C8 (150 x 2.1mm, 1.8 um)",reverse phase (C8)
"HILIC|Waters Acquity BEH HILIC (100 x 2.1mm,1.7 Âµm, 130 Ã…)",normal phase (HILIC)
GC|Agilent HP-5MS,gas chromatography (DB-5)
HILIC|Millipore(TM) ZIC-pHILIC,normal phase (HILIC)
Reversed phase|Aquity C18 BEH 1.7Âµm 100mm x 2.1mm column,reverse phase (C18)
"Reversed phase|Agilent Zorbax RRHD SB-C18 (100 x 2.1mm, 1.8um) analytical column with an Agilent Zorbax SB-C18, 1.8 micron (2.1 x 5 mm) guard column",reverse phase (C18)
Reversed phase|Waters Acquity UPLC HSS T3 (1.8 x 2.1 x 150),reverse phase (C18)
Reversed phase LC|Hamilton Intensity Solo 2 C18,reverse phase (C18)
"HILIC|SeQuant ZIC-pHILIC (150 x 4.6 mm, 5Âµm)",normal phase (HILIC)
"Reversed phase|Waters Aquity BEH C18 (150 × 1.0 mm, 1.7 ?m)",reverse phase (C18)
GC|Zebron ZB-AAA Amino Acid Analysis 10m x 0.25mm (Phenomenex),gas chromatography (DB-5)
GC|Trace 1310 GC,gas chromatography (DB-5)
"HILIC|Waters HILIC column (2.1 x 100 mm, 1.8 Âµm)",normal phase (HILIC)
Reversed phase|InertSustain C18,reverse phase (C18)
"GC|fused silica capillary column OV - 5, dimensions 30m x 0.25mm x 0.25Âµm (Ohio Valley Specialty Chemical, Inc., USA) Valley Specialty Chemical, Inc., USA)",gas chromatography (DB-5)
Normal phase|ACQUITY UPLC BEH C18 column,reverse phase (C18)
Reversed phase|Waters Atlantis C18,reverse phase (C18)
Reversed phase|Accucore Vanquish C18+ UHPLC (2.1mm x 150mm x 1.5?m),reverse phase (C18)
Reversed phase|ACQUITY UPLC BEH C18,reverse phase (C18)
"Normal phase|Agilent Zorbax Eclipse XDB-C18 Silica (150 x 3mm, 1.8 Âµm, 80 Ã…)",reverse phase (C18)
GC|Agilent DB-5MS UI Capillary column,gas chromatography (DB-5)
"HILIC|AMT HALO HILIC 2.7, 4.6x150mm",normal phase (HILIC)
"Reversed phase|Waters Acquity BEH C18 (50 x 1.2mm, 1.7um)",reverse phase (C18)
"HILIC|Agilent 1260 LCLuna 3um NH2 100 , LC Column 150 x 1 mm, Ea (Phenomenex Inc.) 30m column, Agilent",normal phase (HILIC)
"HILIC|Waters Acquity UPLC BEH amide,(150 x 2.1mm,1.7um)",normal phase (HILIC)
HILIC|Zic-pHILIC column 0.5 x 150 mm,normal phase (HILIC)
"Reversed phase|Water XSelect HSS T3 C18 (100 x 2.1mm, 2.5um)",reverse phase (C18)
