MWB,REDU
Urban,Urban
Rural,Rural
not collected,not collected
not applicable,not applicable
not specified,not specified
ML import: not available,ML import: not available
Urban Industrial,Urban
Rural Traditional,Rural
Rural Industrial,Rural
