MWB,REDU
healthy,healthy
chronic illness,chronic illness
acute illness,acute illness
unhealthy (NOS),unhealthy (NOS)
not applicable,not applicable
not collected,not collected
not specified,not specified
ML import: not available,ML import: not available
Healthy Control,healthy
Healthy Non-endemic control,healthy
Healthy Endemic Control,healthy
Healthy Control Liver Tissue,healthy
Healthy24h,healthy
QC_Healthy,healthy
Healthy1V,healthy
